metric,value
gate_result,local_required_source_control_sweep_after_073650_v1=no_new_required_root_no_unlock
r6_owner_export_exists,False
r6_owner_export_file_count,0
r5_recency_extension_exists,False
r5_recency_extension_file_count,0
r3_native_subhour_exists,True
r3_native_subhour_file_count,2
source_label_equivalence_exists,True
source_label_equivalence_file_count,2
approval_present,False
canonical_merge_allowed_now,False
downstream_rerun_allowed_now,False
recent_candidate_count,84
recent_required_filename_count,2
recent_unlock_like_count,2
valid_required_root_unlock,False
source_control_evidence_acquired,False
update_goal,False
