surface,route,query_slug,status,failed_or_parse,top_records,required_filename_hit,owner_hit,mainregimev2_hit,r3_hit,r5_hit,r6_hit,context_hit,first_title_or_name,url,parse_error
data_gov_html,r5_r3_exact,mainregimev2_exact,200,False,10,False,False,False,False,False,False,False,2015-16 Harassment or Bullying by Basis Category Civil Rights Data Collection,https://catalog.data.gov/dataset/?q=%22MainRegimeV2%22,
gitlab_public_projects,r5_r3_exact,mainregimev2_exact,200,False,0,False,False,False,False,False,False,False,,https://gitlab.com/api/v4/projects?search=%22MainRegimeV2%22&simple=true&per_page=10,
openml_dataset_name,r5_r3_exact,mainregimev2_exact,412,False,0,False,False,False,False,False,False,False,,https://www.openml.org/api/v1/json/data/list/data_name/MainRegimeV2/limit/10,
aws_open_data_registry_html,r5_r3_exact,mainregimev2_exact,200,False,0,False,False,False,False,False,False,False,,https://registry.opendata.aws/?search=%22MainRegimeV2%22,
data_gov_html,r3_exact,mainregimev2_crisis_exact,200,False,10,False,False,False,False,False,False,False,2015-16 Harassment or Bullying by Basis Category Civil Rights Data Collection,https://catalog.data.gov/dataset/?q=%22MainRegimeV2%22+%22Crisis%22,
gitlab_public_projects,r3_exact,mainregimev2_crisis_exact,200,False,0,False,False,False,False,False,False,False,,https://gitlab.com/api/v4/projects?search=%22MainRegimeV2%22+%22Crisis%22&simple=true&per_page=10,
openml_dataset_name,r3_exact,mainregimev2_crisis_exact,412,False,0,False,False,False,False,False,False,False,,https://www.openml.org/api/v1/json/data/list/data_name/MainRegimeV2%22%20%22Crisis/limit/10,
aws_open_data_registry_html,r3_exact,mainregimev2_crisis_exact,200,False,0,False,False,False,False,False,False,False,,https://registry.opendata.aws/?search=%22MainRegimeV2%22+%22Crisis%22,
data_gov_html,r3_exact,native_subhour_rows_exact,200,False,10,False,False,False,False,False,False,False,2015-16 Harassment or Bullying by Basis Category Civil Rights Data Collection,https://catalog.data.gov/dataset/?q=%22native_subhour_source_label_rows%22,
gitlab_public_projects,r3_exact,native_subhour_rows_exact,200,False,0,False,False,False,False,False,False,False,,https://gitlab.com/api/v4/projects?search=%22native_subhour_source_label_rows%22&simple=true&per_page=10,
openml_dataset_name,r3_exact,native_subhour_rows_exact,412,False,0,False,False,False,False,False,False,False,,https://www.openml.org/api/v1/json/data/list/data_name/native_subhour_source_label_rows/limit/10,
aws_open_data_registry_html,r3_exact,native_subhour_rows_exact,200,False,0,False,False,False,False,False,False,False,,https://registry.opendata.aws/?search=%22native_subhour_source_label_rows%22,
data_gov_html,r5_exact,stock_regimes_extension_exact,200,False,10,False,False,False,False,False,False,False,2015-16 Harassment or Bullying by Basis Category Civil Rights Data Collection,https://catalog.data.gov/dataset/?q=%22stock_market_regimes_2026_extension%22,
gitlab_public_projects,r5_exact,stock_regimes_extension_exact,200,False,0,False,False,False,False,False,False,False,,https://gitlab.com/api/v4/projects?search=%22stock_market_regimes_2026_extension%22&simple=true&per_page=10,
openml_dataset_name,r5_exact,stock_regimes_extension_exact,412,False,0,False,False,False,False,False,False,False,,https://www.openml.org/api/v1/json/data/list/data_name/stock_market_regimes_2026_extension/limit/10,
aws_open_data_registry_html,r5_exact,stock_regimes_extension_exact,200,False,0,False,False,False,False,False,False,False,,https://registry.opendata.aws/?search=%22stock_market_regimes_2026_extension%22,
data_gov_html,r6_filename,positive_rows_exact,200,False,10,False,False,False,False,False,False,False,2015-16 Harassment or Bullying by Basis Category Civil Rights Data Collection,https://catalog.data.gov/dataset/?q=%22direct_manipulation_positive_rows%22,
gitlab_public_projects,r6_filename,positive_rows_exact,200,False,0,False,False,False,False,False,False,False,,https://gitlab.com/api/v4/projects?search=%22direct_manipulation_positive_rows%22&simple=true&per_page=10,
openml_dataset_name,r6_filename,positive_rows_exact,412,False,0,False,False,False,False,False,False,False,,https://www.openml.org/api/v1/json/data/list/data_name/direct_manipulation_positive_rows/limit/10,
aws_open_data_registry_html,r6_filename,positive_rows_exact,200,False,0,False,False,False,False,False,False,False,,https://registry.opendata.aws/?search=%22direct_manipulation_positive_rows%22,
data_gov_html,r6_filename,matched_controls_exact,200,False,10,False,False,False,False,False,False,False,2015-16 Harassment or Bullying by Basis Category Civil Rights Data Collection,https://catalog.data.gov/dataset/?q=%22direct_manipulation_matched_controls%22,
