path,size_bytes,suffix,schema_class,columns_or_keys,strong_order_lifecycle_hits,source_control_hits,ohlcv_hits,archive_members_read,archive_order_lifecycle_member_hits,exact_required_name,verifier_native_hint,strong_lifecycle_hint
/Users/thrill3r/Downloads/Tomac/70wr2.49rrr5.84pf62.93e.csv,1233593,.csv,other,entry|sl|tp1|tp2|dir|type|entry_time|tp1_hit|exit|reason|pnl,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/77wr6.99pf2rrr.csv,1237914,.csv,other,entry|exit|type|result|pnl,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/80wr8pf1.97rrr.csv,504899,.csv,other,entry_time|exit_time|type|res|pnl,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/82wr1.5rrr7.5pf.csv,156121,.csv,other,entry time|exit time|direction|entry|exit|net pnl|reason,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/85wr12.9pf2.21rrr.csv,931679,.csv,other,entry time|exit time|net pnl|type|reason,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_final.csv,10188,.csv,other,net pnl|result|direction,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_results.csv,2801,.csv,backtest_or_performance_context,net pnl|result,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_v2.csv,4586,.csv,other,time|direction|net pnl|result|entry|exit,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_ES_v3.csv,57686,.csv,other,time|direction|net pnl|result|entry|exit,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_EUR_final.csv,63283,.csv,other,net pnl|result|direction,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_NQ_final.csv,3287,.csv,other,net pnl|result|direction,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_NQ_results.csv,1062,.csv,backtest_or_performance_context,net pnl|result,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_XAU_final.csv,4293,.csv,other,net pnl|result|direction,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_YM_final.csv,32722,.csv,other,net pnl|result|direction,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_all_contracts_summary.csv,113,.csv,backtest_or_performance_context,contract|trades|winrate%|rrr|profitfactor|totalpnl,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_balanced.csv,20849,.csv,other,time|net pnl|result|direction,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_final_summary.csv,216,.csv,backtest_or_performance_context,contract|trades|winrate%|rrr|profitfactor|totalpnl,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/90wr1.5rrr_pro_results.csv,501,.csv,backtest_or_performance_context,time|net pnl|result|direction|entry|exit,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/92w0.5rrrr5.54pf.csv,337152,.csv,other,entry time|exit time|net pnl|type|reason,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/98wr0.8rrr41.07pf.csv,1272927,.csv,other,time|net pnl|result,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/GLBX-20260404-NQ.zip,788246197,.zip,other,,,,,4,,False,False,False
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/condition.json,563507,.json,other,,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/glbx-mdp3-20100606-20260403.ohlcv-1m.csv,927819291,.csv,ohlcv_or_bar_context,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol,,,close|high|low|open|volume,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/manifest.json,2342,.json,other,files|job_id,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/metadata.json,683,.json,other,customizations|job_id|query|version,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.csv,4267811,.csv,other,raw_symbol|instrument_id|date,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/es future 2021-2025/symbology.json,56948,.json,other,end_date|message|not_found|partial|result|start_date|status|stype_in|stype_out|symbols,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/es future 2021-2025.zip,886014513,.zip,order_lifecycle_hint,,,,,6,symbology.json|symbology.csv,False,False,True
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/condition.json,413267,.json,other,,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/glbx-mdp3-20150101-20251231.ohlcv-1m.csv,539544466,.csv,ohlcv_or_bar_context,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol,,,close|high|low|open|volume,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/manifest.json,2343,.json,other,files|job_id,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/metadata.json,683,.json,other,customizations|job_id|query|version,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.csv,8273022,.csv,other,raw_symbol|instrument_id|date,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025/symbology.json,159781,.json,other,end_date|message|not_found|partial|result|start_date|status|stype_in|stype_out|symbols,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/eur future 2015-2025.zip,548394386,.zip,order_lifecycle_hint,,,,,6,symbology.json|symbology.csv,False,False,True
/Users/thrill3r/Downloads/Tomac/full_backtest_ES.csv,2087525,.csv,backtest_or_performance_context,time|net pnl|result|direction|entry|exit|year,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/full_backtest_EUR.csv,1056173,.csv,backtest_or_performance_context,time|net pnl|result|direction|entry|exit,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/full_backtest_NQ.csv,1678636,.csv,backtest_or_performance_context,time|net pnl|result|direction|entry|exit,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/full_backtest_XAU.csv,396476,.csv,backtest_or_performance_context,time|net pnl|result|direction|entry|exit,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/full_backtest_YM.csv,1542896,.csv,backtest_or_performance_context,time|net pnl|result|direction|entry|exit,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/full_backtest_summary.csv,197,.csv,backtest_or_performance_context,contract|years|trades|winrate%|rrr|profitfactor|totalpnl|passed,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/condition.json,187797,.json,runtime_or_strategy_context,condition|date|last_modified_date,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/databento.rar,102402878,.rar,other,,,,,2,,False,False,False
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/gc_201101_202604.csv,401491646,.csv,ohlcv_or_bar_context,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol,,,close|high|low|open|volume,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/glbx-mdp3-20210106-20260105.ohlcv-1m.csv,585690521,.csv,ohlcv_or_bar_context,ts_event|rtype|publisher_id|instrument_id|open|high|low|close|volume|symbol,,,close|high|low|open|volume,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/manifest.json,2345,.json,other,files|job_id,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/metadata.json,683,.json,other,customizations|job_id|query|version,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.csv,30984640,.csv,other,raw_symbol|instrument_id|date,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/gc future 2021-2025/symbology.json,1324648,.json,other,,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/es.continuous-15m.json,7786235,.json,other,,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/eur.continuous-15m.json,4256273,.json,other,,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/nq-structure-ict-mutation.json,599,.json,other,base_factor|direction_hints|enabled_overrides|evaluate_expansion_preview|hypothesis|mutation_id|parameter_overrides|step_size_hints,,,,0,,False,False,False
/Users/thrill3r/Downloads/Tomac/ict-cleaned-15m/nq.continuous-15m.json,5832749,.json,other,,,,,0,,False,False,False
