protocol_version,symbol,generated_at,candidate_set_id,candidate_set_size,rank,path_id,scenario_id,path_label,regime_profit_branch_path,parent_regime_root,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,direction,raw_path_score,calibrated_path_prob,path_prob_lower_bound,execution_gate_status,execution_gate_min_path_prob,execution_gate_reason,pending_reward_state,maturity_mask,maturity_weight,calibrated_label,propensity_estimate,ips_weight,training_weight,regime_calibration_bucket,behavior_policy_probability,execution_propensity,target_policy_probability_confidence,target_policy_probability_lower_bound,target_policy_reward_prior,target_policy_reward_lower_bound,experience_prior,current_posterior,structural_baseline_score,score_model_family,score_source_kind,score_model_artifact_uri,score_generator
structural-path-ranking-target-v1,B2R_PROVIDER_BTC_EMA_RSI_104703,2026-05-12T03:08:11Z,structural-candidates:B2R_PROVIDER_BTC_EMA_RSI_104703:93f8efa68127b994,1,1,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:bootstrap:no_workflow_state:bootstrap_collect_inputs:primary,scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:bootstrap:no_workflow_state:bootstrap_collect_inputs,bootstrap_readiness,,,,,,,observe,,,,,,,unobserved,false,0.000000,,,,,B2R_PROVIDER_BTC_EMA_RSI_104703:unknown,1.000000,,,,,,0.500000,0.000000,0.150000,,,,
structural-path-ranking-target-v1,B2R_PROVIDER_BTC_EMA_RSI_104703,2026-05-12T03:08:11Z,structural-candidates:B2R_PROVIDER_BTC_EMA_RSI_104703:ae8ab5f0ac199585,3,1,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through:primary,scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through,trend_follow_through,,,,,,,Observe,,,,,,,unobserved,false,0.000000,,0.194734,5.000000,,B2R_PROVIDER_BTC_EMA_RSI_104703:trend,0.364095,0.534844,,,,,0.483165,0.581424,0.551946,,,,
structural-path-ranking-target-v1,B2R_PROVIDER_BTC_EMA_RSI_104703,2026-05-12T03:08:11Z,structural-candidates:B2R_PROVIDER_BTC_EMA_RSI_104703:ae8ab5f0ac199585,3,2,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:range_mean_reversion:primary,scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:range_mean_reversion,range_mean_reversion,,,,,,,Observe,,,,,,,unobserved,false,0.000000,,,,,B2R_PROVIDER_BTC_EMA_RSI_104703:trend,0.310222,,,,,,0.250000,0.581424,0.481997,,,,
structural-path-ranking-target-v1,B2R_PROVIDER_BTC_EMA_RSI_104703,2026-05-12T03:08:11Z,structural-candidates:B2R_PROVIDER_BTC_EMA_RSI_104703:ae8ab5f0ac199585,3,3,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:stress_de_risk:primary,scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:stress_de_risk,stress_de_risk,,,,,,,Observe,,,,,,,unobserved,false,0.000000,,,,,B2R_PROVIDER_BTC_EMA_RSI_104703:trend,0.310222,,,,,,0.250000,0.581424,0.481997,,,,
structural-path-ranking-target-v1,B2R_PROVIDER_BTC_EMA_RSI_104703,2026-05-12T03:08:11Z,structural-candidates:B2R_PROVIDER_BTC_EMA_RSI_104703:ae8ab5f0ac199585,3,1,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through:primary,scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through,trend_follow_through,,,,,,,Observe,0.364095,,,,,,matured_success,true,1.000000,1.000000,0.259055,3.860186,3.860186,B2R_PROVIDER_BTC_EMA_RSI_104703:trend,0.379556,0.682521,0.500000,0.364095,0.817479,0.544342,0.609083,0.581424,0.589722,,,,
structural-path-ranking-target-v1,B2R_PROVIDER_BTC_EMA_RSI_104703,2026-05-12T03:08:11Z,structural-candidates:B2R_PROVIDER_BTC_EMA_RSI_104703:ae8ab5f0ac199585,1,1,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through:primary,scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through:primary,,,,,,,neutral,0.364095,0.750000,0.432415,observe,0.500000,path_prob_lower_bound=0.432 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.364095,2.746536,2.746536,B2R_PROVIDER_BTC_EMA_RSI_104703:manipulation_expansion,0.364095,1.000000,0.500000,0.364095,0.817479,0.544342,0.634957,0.817479,0.364095,,,,
structural-path-ranking-target-v1,B2R_PROVIDER_BTC_EMA_RSI_104703,2026-05-12T03:08:11Z,structural-candidates:B2R_PROVIDER_BTC_EMA_RSI_104703:45fe072577bc29da,3,1,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through:primary,scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through:primary,,,,,,,neutral,,,,,,,matured_success,true,1.000000,1.000000,0.384450,2.601118,2.601118,B2R_PROVIDER_BTC_EMA_RSI_104703:range,0.536939,0.716003,0.500000,0.364095,0.823545,0.553991,0.616831,0.823545,0.761531,,,,
structural-path-ranking-target-v1,B2R_PROVIDER_BTC_EMA_RSI_104703,2026-05-12T03:08:11Z,structural-candidates:B2R_PROVIDER_BTC_EMA_RSI_104703:45fe072577bc29da,3,2,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:range:range_mean_reversion:primary,scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:range:range_mean_reversion,range_mean_reversion,,,,,,,Observe,,,,,,,unobserved,false,0.000000,,,,,B2R_PROVIDER_BTC_EMA_RSI_104703:range,0.231530,,,,,,0.250000,0.361965,0.328375,,,,
structural-path-ranking-target-v1,B2R_PROVIDER_BTC_EMA_RSI_104703,2026-05-12T03:08:11Z,structural-candidates:B2R_PROVIDER_BTC_EMA_RSI_104703:45fe072577bc29da,3,3,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:range:trend_follow_through:primary,scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:range:trend_follow_through,trend_follow_through,,,,,,,Observe,,,,,,,unobserved,false,0.000000,,,,,B2R_PROVIDER_BTC_EMA_RSI_104703:range,0.231530,,,,,,0.250000,0.361965,0.328375,,,,
structural-path-ranking-target-v1,B2R_PROVIDER_BTC_EMA_RSI_104703,2026-05-12T03:08:11Z,structural-candidates:B2R_PROVIDER_BTC_EMA_RSI_104703:ae8ab5f0ac199585,1,1,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through:primary,scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through,path:scenario:B2R_PROVIDER_BTC_EMA_RSI_104703:belief_regime_node:trend:trend_follow_through:primary,,,,,,,neutral,0.364095,0.750000,0.432415,observe,0.500000,path_prob_lower_bound=0.432 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.364095,2.746536,2.746536,B2R_PROVIDER_BTC_EMA_RSI_104703:manipulation_expansion,0.364095,1.000000,0.500000,0.364095,0.823545,0.553991,0.647090,0.823545,0.364095,,,,
