protocol_version,symbol,generated_at,candidate_set_id,candidate_set_size,rank,path_id,scenario_id,path_label,regime_profit_branch_path,parent_regime_root,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,direction,raw_path_score,calibrated_path_prob,path_prob_lower_bound,execution_gate_status,execution_gate_min_path_prob,execution_gate_reason,pending_reward_state,maturity_mask,maturity_weight,calibrated_label,propensity_estimate,ips_weight,training_weight,regime_calibration_bucket,behavior_policy_probability,execution_propensity,target_policy_probability_confidence,target_policy_probability_lower_bound,target_policy_reward_prior,target_policy_reward_lower_bound,experience_prior,current_posterior,structural_baseline_score,score_model_family,score_source_kind,score_model_artifact_uri,score_generator
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-candidates:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:39eb8c8b09ba776d,3,1,path:scenario:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:belief_regime_node:range:range_mean_reversion:primary,scenario:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:belief_regime_node:range:range_mean_reversion,range_mean_reversion,,,,,,,favor_mean_reversion_only,0.989295,,,,,,unobserved,false,0.000000,,0.195593,5.000000,,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:range,0.366801,0.533240,,,,,0.483915,0.525086,0.512735,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-candidates:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:39eb8c8b09ba776d,3,2,path:scenario:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:belief_regime_node:range:stress_de_risk:primary,scenario:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:belief_regime_node:range:stress_de_risk,stress_de_risk,,,,,,,favor_mean_reversion_only,0.989295,,,,,,unobserved,false,0.000000,,,,,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:range,0.316600,,,,,,0.250000,0.525086,0.442561,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-candidates:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:39eb8c8b09ba776d,3,3,path:scenario:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:belief_regime_node:range:transition_confirmation:primary,scenario:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:belief_regime_node:range:transition_confirmation,transition_confirmation,,,,,,,favor_mean_reversion_only,0.989295,,,,,,unobserved,false,0.000000,,,,,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:range,0.316600,,,,,,0.250000,0.525086,0.442561,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-feedback-history:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:3bf8270b2178b9d6,1,1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull,Bull,ProviderCryptoMomentum,RsiMidlineExpansion,ProviderCryptoMomentumStateV1,bull,0.986828,0.343096,0.292839,observe,0.500000,path_prob_lower_bound=0.293 min_path_prob=0.500,matured_failure,true,1.000000,0.000000,0.500000,2.000000,2.000000,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:manipulation_expansion,0.500000,1.000000,,,,,0.500000,0.500000,0.500000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-feedback-history:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:3bf8270b2178b9d6,1,2,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull,Bull,ProviderCryptoMomentum,RsiMidlineExpansion,ProviderCryptoMomentumStateV1,bull,0.986828,0.343096,0.292839,observe,0.500000,path_prob_lower_bound=0.293 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.500000,2.000000,2.000000,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:manipulation_expansion,0.500000,1.000000,,,,,0.500000,0.500000,0.500000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-feedback-history:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:3bf8270b2178b9d6,1,3,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull,Bull,ProviderCryptoMomentum,RsiMidlineExpansion,ProviderCryptoMomentumStateV1,bull,0.986828,0.343096,0.292839,observe,0.500000,path_prob_lower_bound=0.293 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.500000,2.000000,2.000000,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:manipulation_expansion,0.500000,1.000000,,,,,0.500000,0.500000,0.500000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-feedback-history:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:3bf8270b2178b9d6,1,4,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull,Bull,ProviderCryptoMomentum,RsiMidlineExpansion,ProviderCryptoMomentumStateV1,bull,0.986828,0.343096,0.292839,observe,0.500000,path_prob_lower_bound=0.293 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.500000,2.000000,2.000000,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:manipulation_expansion,0.500000,1.000000,,,,,0.500000,0.500000,0.500000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-feedback-history:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:3bf8270b2178b9d6,1,5,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull,Bull,ProviderCryptoMomentum,RsiMidlineExpansion,ProviderCryptoMomentumStateV1,bull,0.986828,0.343096,0.292839,observe,0.500000,path_prob_lower_bound=0.293 min_path_prob=0.500,matured_failure,true,1.000000,0.000000,0.500000,2.000000,2.000000,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:manipulation_expansion,0.500000,1.000000,,,,,0.500000,0.500000,0.500000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-feedback-history:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:3bf8270b2178b9d6,1,6,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull,Bull,ProviderCryptoMomentum,RsiMidlineExpansion,ProviderCryptoMomentumStateV1,bull,0.986828,0.343096,0.292839,observe,0.500000,path_prob_lower_bound=0.293 min_path_prob=0.500,matured_failure,true,1.000000,0.000000,0.500000,2.000000,2.000000,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:manipulation_expansion,0.500000,1.000000,,,,,0.500000,0.500000,0.500000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-feedback-history:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:3bf8270b2178b9d6,1,7,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull,Bull,ProviderCryptoMomentum,RsiMidlineExpansion,ProviderCryptoMomentumStateV1,bull,0.986828,0.343096,0.292839,observe,0.500000,path_prob_lower_bound=0.293 min_path_prob=0.500,matured_failure,true,1.000000,0.000000,0.500000,2.000000,2.000000,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:manipulation_expansion,0.500000,1.000000,,,,,0.500000,0.500000,0.500000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-feedback-history:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:3bf8270b2178b9d6,1,8,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull,Bull,ProviderCryptoMomentum,RsiMidlineExpansion,ProviderCryptoMomentumStateV1,bull,0.986828,0.343096,0.292839,observe,0.500000,path_prob_lower_bound=0.293 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.500000,2.000000,2.000000,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:manipulation_expansion,0.500000,1.000000,,,,,0.500000,0.500000,0.500000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-feedback-history:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:3bf8270b2178b9d6,1,9,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull,Bull,ProviderCryptoMomentum,RsiMidlineExpansion,ProviderCryptoMomentumStateV1,bull,0.986828,0.343096,0.292839,observe,0.500000,path_prob_lower_bound=0.293 min_path_prob=0.500,matured_failure,true,1.000000,0.000000,0.500000,2.000000,2.000000,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:manipulation_expansion,0.500000,1.000000,,,,,0.500000,0.500000,0.500000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
structural-path-ranking-target-v1,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700,2026-05-12T04:17:21Z,structural-feedback-history:B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:3bf8270b2178b9d6,1,10,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull -> ProviderCryptoMomentum -> RsiMidlineExpansion -> ProviderCryptoMomentumStateV1,Bull,Bull,ProviderCryptoMomentum,RsiMidlineExpansion,ProviderCryptoMomentumStateV1,bull,0.986828,0.343096,0.292839,observe,0.500000,path_prob_lower_bound=0.293 min_path_prob=0.500,matured_success,true,1.000000,1.000000,0.500000,2.000000,2.000000,B2R_SAME_ROOT_SIX_PROVIDER_1H_AQ_115700:manipulation_expansion,0.500000,1.000000,,,,,0.500000,0.500000,0.500000,catboost,external_model,docs/experiments/actionable-regime-confidence/runs/20260512T120941+0800-codex-115700-same-root-1h-downstream-chain-v1/path-ranker/catboost_feature_support_v1/catboost_model_augmented/catboost_model.cbm,pandas_path_ranker_trainer.py
