pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday,entry_ts,profit_ratio_numeric,context_date,close,ema21,ema89,atr_pct,ret_24h,ret_63h,rolling_vol_120h,breakout_20h,breakdown_20h,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,branch_path,win,period_bucket
ES/USD,43216.0,43216.0,32.0,2012-08-17 14:00:00+00:00,2012-09-26 20:00:00+00:00,1350.5,1360.25,0.0,0.0,57960,0.0072195483154387265,312.0,exit_signal,1323.49,-0.02,1323.49,-0.02,1350.5,1360.75,False,,1.0,False,1345212000000,1348689600000,"[{'amount': 32.0, 'safe_price': 1350.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1345212000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 43216.0}, {'amount': 32.0, 'safe_price': 1360.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1348689600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 43528.0}]",0.0,2,2012-08-17 14:00:00+00:00,0.0072195483154387265,2012-08-17 13:00:00+00:00,1350.5,1345.3457706078575,1344.5678540237989,0.0005024594065689956,0.006896551724137945,,0.0029237195367998008,True,False,Bull,TrendAlignedBreakout,OneHourMomentumContinuation,TomacNQ_KillzoneBreakout,Bull -> TrendAlignedBreakout -> OneHourMomentumContinuation -> TomacNQ_KillzoneBreakout,True,pre_2020
ES/USD,43528.0,43528.0,32.0,2012-10-08 15:00:00+00:00,2012-10-10 21:00:00+00:00,1360.25,1357.0,0.0,0.0,3240,-0.0023892666789193163,-104.0,exit_signal,1333.05,-0.02,1333.05,-0.02,1357.0,1361.0,False,,1.0,False,1349708400000,1349902800000,"[{'amount': 32.0, 'safe_price': 1360.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1349708400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 43528.0}, {'amount': 32.0, 'safe_price': 1357.0, 'ft_order_side': 'sell', 'order_filled_timestamp': 1349902800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 43424.0}]",0.0,2,2012-10-08 15:00:00+00:00,-0.0023892666789193163,2012-10-08 14:00:00+00:00,1360.25,1357.440427198581,1353.2053650580392,0.0003544516501693491,0.0011039558417662576,0.013599105812220458,0.0021834481059898494,True,False,Bull,TrendAlignedBreakout,OneHourMomentumContinuation,TomacNQ_KillzoneBreakout,Bull -> TrendAlignedBreakout -> OneHourMomentumContinuation -> TomacNQ_KillzoneBreakout,False,pre_2020
ES/USD,43720.0,43720.0,32.0,2012-10-18 16:00:00+00:00,2012-10-19 15:00:00+00:00,1366.25,1356.25,0.0,0.0,1380,-0.007319304666056725,-320.0,exit_signal,1338.93,-0.02,1338.93,-0.02,1356.25,1366.75,False,,1.0,False,1350576000000,1350658800000,"[{'amount': 32.0, 'safe_price': 1366.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1350576000000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 43720.0}, {'amount': 32.0, 'safe_price': 1356.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1350658800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 43400.0}]",0.0,4,2012-10-18 16:00:00+00:00,-0.007319304666056725,2012-10-18 16:00:00+00:00,1366.5,1359.1669210997009,1355.49375208425,0.0009539490878678584,0.012034808368820649,0.008673186934858856,0.0015963958403360148,True,False,Bull,TrendAlignedBreakout,OneHourMomentumContinuation,TomacNQ_KillzoneBreakout,Bull -> TrendAlignedBreakout -> OneHourMomentumContinuation -> TomacNQ_KillzoneBreakout,False,pre_2020
ES/USD,42272.0,42272.0,32.0,2012-11-27 15:00:00+00:00,2012-11-28 15:00:00+00:00,1321.0,1313.5,0.0,0.0,1440,-0.005677517032551098,-240.0,exit_signal,1294.58,-0.02,1294.58,-0.02,1313.5,1321.25,False,,1.0,False,1354028400000,1354114800000,"[{'amount': 32.0, 'safe_price': 1321.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1354028400000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 42272.0}, {'amount': 32.0, 'safe_price': 1313.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1354114800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 42032.0}]",0.0,2,2012-11-27 15:00:00+00:00,-0.005677517032551098,2012-11-27 15:00:00+00:00,1321.0,1317.7529302634189,1320.5656811946187,0.0007975559640964637,0.0017061611374407093,0.006092916984006047,0.0022900533797572033,False,False,Sideways,RangeBreakoutAttempt,OneHourRangeExpansion,TomacNQ_KillzoneBreakout,Sideways -> RangeBreakoutAttempt -> OneHourRangeExpansion -> TomacNQ_KillzoneBreakout,False,pre_2020
ES/USD,42616.0,42616.0,32.0,2012-12-07 14:00:00+00:00,2012-12-10 08:00:00+00:00,1331.75,1326.25,0.0,0.0,3960,-0.004129904261310306,-176.0,exit_signal,1305.12,-0.02,1305.12,-0.02,1324.25,1331.75,False,,1.0,False,1354888800000,1355126400000,"[{'amount': 32.0, 'safe_price': 1331.75, 'ft_order_side': 'buy', 'order_filled_timestamp': 1354888800000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 42616.0}, {'amount': 32.0, 'safe_price': 1326.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1355126400000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 42440.0}]",0.0,0,2012-12-07 14:00:00+00:00,-0.004129904261310306,2012-12-07 14:00:00+00:00,1331.75,1328.5747483515156,1326.7698813378017,0.0014213306873340663,0.00642357831097673,0.013894175866006941,0.0023214746124323522,False,False,Bull,TrendAlignedBreakout,OneHourMomentumContinuation,TomacNQ_KillzoneBreakout,Bull -> TrendAlignedBreakout -> OneHourMomentumContinuation -> TomacNQ_KillzoneBreakout,False,pre_2020
ES/USD,42512.0,42512.0,32.0,2012-12-10 15:00:00+00:00,2012-12-12 21:00:00+00:00,1328.5,1329.5,0.0,0.0,3240,0.0007527286413248024,32.0,exit_signal,1301.93,-0.02,1301.93,-0.02,1326.75,1340.75,False,,1.0,False,1355151600000,1355346000000,"[{'amount': 32.0, 'safe_price': 1328.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1355151600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 42512.0}, {'amount': 32.0, 'safe_price': 1329.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1355346000000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 42544.0}]",0.0,2,2012-12-10 15:00:00+00:00,0.0007527286413248024,2012-12-10 15:00:00+00:00,1327.0,1327.0562444466507,1326.6766643225023,0.0013456776832813004,-0.002443149783875165,-0.006178618236285294,0.0021641245026928694,False,False,Bull,TrendAlignedBreakout,OneHourMomentumContinuation,TomacNQ_KillzoneBreakout,Bull -> TrendAlignedBreakout -> OneHourMomentumContinuation -> TomacNQ_KillzoneBreakout,True,pre_2020
ES/USD,42520.0,42520.0,32.0,2013-01-03 14:00:00+00:00,2013-01-07 00:00:00+00:00,1328.75,1330.25,0.0,0.0,4920,0.0011288805268109125,48.0,exit_signal,1302.18,-0.02,1302.18,-0.02,1323.5,1336.0,False,,1.0,False,1357221600000,1357516800000,"[{'amount': 32.0, 'safe_price': 1328.75, 'ft_order_side': 'buy', 'order_filled_timestamp': 1357221600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 42520.0}, {'amount': 32.0, 'safe_price': 1330.25, 'ft_order_side': 'sell', 'order_filled_timestamp': 1357516800000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 42568.0}]",0.0,0,2013-01-03 14:00:00+00:00,0.0011288805268109125,2013-01-03 14:00:00+00:00,1328.0,1321.560935697158,1309.4511919351826,0.0013446643717728057,0.0139339568619965,0.026870288034022805,0.0026698480436628275,False,False,Bull,TrendAlignedBreakout,OneHourMomentumContinuation,TomacNQ_KillzoneBreakout,Bull -> TrendAlignedBreakout -> OneHourMomentumContinuation -> TomacNQ_KillzoneBreakout,True,pre_2020
ES/USD,42800.0,42800.0,32.0,2013-01-09 15:00:00+00:00,2013-01-11 15:00:00+00:00,1337.5,1344.5,0.0,0.0,2880,0.005233644859813084,224.0,trailing_stop_loss,1310.75,-0.02,1344.5,-0.005,1332.0,1351.25,False,,1.0,False,1357743600000,1357916400000,"[{'amount': 32.0, 'safe_price': 1337.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1357743600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 42800.0}, {'amount': 32.0, 'safe_price': 1344.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1357916400000, 'ft_is_entry': False, 'ft_order_tag': 'trailing_stop_loss', 'cost': 43024.0}]",0.0,4,2013-01-09 15:00:00+00:00,0.005233644859813084,2013-01-09 15:00:00+00:00,1336.5,1330.8699854087572,1325.2366212722202,0.0009486398375287264,0.007159005275056529,0.005265137269650166,0.0021673497652468956,False,False,Bull,TrendAlignedBreakout,OneHourMomentumContinuation,TomacNQ_KillzoneBreakout,Bull -> TrendAlignedBreakout -> OneHourMomentumContinuation -> TomacNQ_KillzoneBreakout,True,pre_2020
ES/USD,43360.0,43360.0,32.0,2013-01-17 14:00:00+00:00,2013-01-22 02:00:00+00:00,1355.0,1359.0,0.0,0.0,6480,0.002952029520295203,128.0,exit_signal,1327.9,-0.02,1327.9,-0.02,1351.25,1362.75,False,,1.0,False,1358431200000,1358820000000,"[{'amount': 32.0, 'safe_price': 1355.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1358431200000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 43360.0}, {'amount': 32.0, 'safe_price': 1359.0, 'ft_order_side': 'sell', 'order_filled_timestamp': 1358820000000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 43488.0}]",0.0,1,2013-01-17 14:00:00+00:00,0.002952029520295203,2013-01-17 14:00:00+00:00,1352.75,1348.0703107091006,1345.1954293284864,0.0014124666684267497,0.007447402718302021,0.004828226555245951,0.001143228817095009,False,False,Bull,TrendAlignedBreakout,OneHourMomentumContinuation,TomacNQ_KillzoneBreakout,Bull -> TrendAlignedBreakout -> OneHourMomentumContinuation -> TomacNQ_KillzoneBreakout,True,pre_2020
ES/USD,43688.0,43688.0,32.0,2013-01-23 14:00:00+00:00,2013-01-24 00:00:00+00:00,1365.25,1362.5,0.0,0.0,600,-0.0020142830983336385,-88.0,exit_signal,1337.95,-0.02,1337.95,-0.02,1362.5,1369.5,False,,1.0,False,1358949600000,1358985600000,"[{'amount': 32.0, 'safe_price': 1365.25, 'ft_order_side': 'buy', 'order_filled_timestamp': 1358949600000, 'ft_is_entry': True, 'ft_order_tag': '', 'cost': 43688.0}, {'amount': 32.0, 'safe_price': 1362.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1358985600000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 43600.0}]",0.0,3,2013-01-23 14:00:00+00:00,-0.0020142830983336385,2013-01-23 14:00:00+00:00,1365.5,1361.9767527717017,1355.4117742403682,0.0010723439870272532,0.0071915913700904,0.014110657259561732,0.0011734888645883422,False,False,Bull,TrendAlignedBreakout,OneHourMomentumContinuation,TomacNQ_KillzoneBreakout,Bull -> TrendAlignedBreakout -> OneHourMomentumContinuation -> TomacNQ_KillzoneBreakout,False,pre_2020
