provider,label,symbol,interval,requested_start,requested_end,exit_code,ok,rows,first_timestamp,last_timestamp,raw_csv_bytes,raw_csv_sha256,capability_note,consumer_path,local_tomac_path,promotion_allowed
yfinance,01_yahoo_es_1h_near_server_max,ES=F,1h,2024-05-13,2026-05-12,0,True,11383,2024-05-13 00:00:00+00:00,2026-05-11 23:00:00+00:00,725259,b34b4db3d17016faa365b8c5902632356501396703d1ade38f068b6b643e43e9,near Yahoo 1h server max around 730d; provider-backed tradfi/futures path,True,False,False
yfinance,02_yahoo_es_1d_long_fallback,ES=F,1d,2010-01-01,2026-05-12,0,True,4114,2010-01-04 05:00:00+00:00,2026-05-11 04:00:00+00:00,270817,36d9590dd02b492bd81d9ad28eb41b104a0c7713b88f35af3f1fd8888dbfffb1,long daily fallback only; not sufficient for intraday acceptance,True,False,False
yfinance,03_yahoo_es_1m_over_limit_probe,ES=F,1m,2024-01-01,2026-05-12,1,False,0,,,0,,negative probe for Yahoo 1m long-span ceiling,True,False,False
binance_public,04_binance_btcusdt_1m_old_listing_1y,BTCUSDT,1m,2017-08-17,2018-08-17,0,True,521470,2017-08-17 04:00:00+00:00,2018-08-17 00:00:00+00:00,34794251,7103aca9e46abb215cf78fe25c88b24e8e571bf6b9307256a24d4f87a0586026,old-listing 1y 1m paging probe; consumer public path,True,False,False
binance_public,05_binance_btcusdt_1h_full_listing_probe,BTCUSDT,1h,2017-08-17,2026-05-12,0,True,76429,2017-08-17 04:00:00+00:00,2026-05-12 00:00:00+00:00,5435203,45924133b4354e4fb210f1cc821403ae4b4e6e01c4afecb75e84dbf59190d34f,full-listing 1h paging probe; consumer public path,True,False,False
bybit_public,06_bybit_btcusdt_linear_1m_1y,BTCUSDT linear,1m,2020-01-01,2021-01-01,0,True,1000,2020-12-31 07:21:00+00:00,2021-01-01 00:00:00+00:00,64321,64fc9b12f1f8261df886859d2dbf2e778fc2b82908dda2490bd5a70eed76f40b,Bybit 1m perp probe returned only one 1000-row page; not long-span until pagination is repaired/confirmed,True,False,False
bybit_public,07_bybit_btcusdt_linear_1h_long_probe,BTCUSDT linear,1h,2020-01-01,2026-05-12,0,True,1000,2026-03-31 09:00:00+00:00,2026-05-12 00:00:00+00:00,66743,d56579f405ab29ec82623d240d07b8544cc39d7bf0b4596f092a683a2fea7856,Bybit 1h perp probe returned only one 1000-row page; not long-span until pagination is repaired/confirmed,True,False,False
kraken_public,08_kraken_spot_xbtusd_1m_server_window,XBTUSD spot,1m,server-window,server-window,0,True,721,2026-05-11 18:21:00+00:00,2026-05-12 06:21:00+00:00,49730,43ba9be8929b7a0e017ac39497f4d1d4f332cc52d528a704f696f52e9fe0c141,Kraken spot OHLC endpoint last-window only,True,False,False
kraken_public,09_kraken_futures_pfxbtusd_1h_long_probe,PF_XBTUSD futures,1h,2020-01-01,2026-05-12,0,True,2000,2022-03-23 10:00:00+00:00,2022-06-14 17:00:00+00:00,133942,ae80a299a7595188749bfa653659c11de93327b8aa96fb9f3db14657d7e346a6,Kraken futures multi-year request returned capped 2000 rows,True,False,False
kraken_public,10_kraken_futures_pfspxusd_1h_long_probe,PF_SPXUSD futures,1h,2020-01-01,2026-05-12,0,True,2000,2024-12-20 17:00:00+00:00,2025-03-14 00:00:00+00:00,118891,ce38e47672670aa86ac86936910054169eba3f7f3892d0901a9a3833c78ff11b,Kraken futures equity-index proxy request returned capped 2000 rows,True,False,False
ibkr,11_ibkr_spy_1h_5y_gateway_probe,SPY STK SMART/ARCA,1h,duration=5 Y,end=now,0,True,20034,2021-05-13T08:00:00+00:00,2026-05-11T23:00:00+00:00,1528584,d0da983fbb91fba8f500c243b416149087efdf4a15dabc10709ae5d8ed421823,IBKR local gateway 5Y 1h probe via uv isolated deps; strongest current tradfi provider span,True,False,False
tradingview_mcp,12_tradingview_qqq_1h_2y_harness_probe,NASDAQ:QQQ,1h,2024-05-13,2026-05-12,1,False,0,,,0,,TradingViewRemix harness 2y 1h request failed at MCP get_ohlcv,True,False,False
