provider,symbol,strategy,entry_time,exit_time,direction,return,main_regime,sub_regime,sub_sub_regime_or_profit_factor,profit_factor,branch_path
binance,BTCUSDT,trend_pullback_resume_v1,2017-08-26 08:00:00+00:00,2017-08-26 20:00:00+00:00,long,0.0032085561497328108,trend_expansion,normal_volatility,down_or_flat_momentum,trend_pullback_resume,trend_expansion->normal_volatility->down_or_flat_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-08-27 13:00:00+00:00,2017-08-28 01:00:00+00:00,long,-0.007570680943912,trend_expansion,normal_volatility,up_momentum,trend_pullback_resume,trend_expansion->normal_volatility->up_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-08-29 07:00:00+00:00,2017-08-29 19:00:00+00:00,long,0.0523282405717691,trend_expansion,normal_volatility,up_momentum,trend_pullback_resume,trend_expansion->normal_volatility->up_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-08-30 07:00:00+00:00,2017-08-30 19:00:00+00:00,long,-0.0029010861490720297,trend_expansion,normal_volatility,up_momentum,trend_pullback_resume,trend_expansion->normal_volatility->up_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-08-30 19:00:00+00:00,2017-08-31 07:00:00+00:00,long,0.012197971266217245,trend_expansion,normal_volatility,down_or_flat_momentum,trend_pullback_resume,trend_expansion->normal_volatility->down_or_flat_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-09-01 04:00:00+00:00,2017-09-01 16:00:00+00:00,long,0.023287671232876672,trend_expansion,normal_volatility,up_momentum,trend_pullback_resume,trend_expansion->normal_volatility->up_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-09-02 03:00:00+00:00,2017-09-02 15:00:00+00:00,long,-0.06847853101562851,trend_expansion,normal_volatility,up_momentum,trend_pullback_resume,trend_expansion->normal_volatility->up_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-09-04 06:00:00+00:00,2017-09-04 18:00:00+00:00,short,0.07729995044587512,range_or_de_risk,high_volatility,down_or_flat_momentum,trend_pullback_resume,range_or_de_risk->high_volatility->down_or_flat_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-09-04 21:00:00+00:00,2017-09-05 09:00:00+00:00,short,0.0324887281608115,range_or_de_risk,high_volatility,down_or_flat_momentum,trend_pullback_resume,range_or_de_risk->high_volatility->down_or_flat_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-09-05 09:00:00+00:00,2017-09-05 21:00:00+00:00,short,-0.06174196915085983,range_or_de_risk,high_volatility,down_or_flat_momentum,trend_pullback_resume,range_or_de_risk->high_volatility->down_or_flat_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-09-08 00:00:00+00:00,2017-09-08 12:00:00+00:00,long,0.007047366014445888,trend_expansion,normal_volatility,up_momentum,trend_pullback_resume,trend_expansion->normal_volatility->up_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-09-08 12:00:00+00:00,2017-09-09 00:00:00+00:00,long,-0.08286403515378715,trend_expansion,normal_volatility,down_or_flat_momentum,trend_pullback_resume,trend_expansion->normal_volatility->down_or_flat_momentum->trend_pullback_resume
binance,BTCUSDT,trend_pullback_resume_v1,2017-09-09 13:00:00+00:00,2017-09-10 01:00:00+00:00,short,0.016315671974996282,range_or_de_risk,normal_volatility,down_or_flat_momentum,trend_pullback_resume,range_or_de_risk->normal_volatility->down_or_flat_momentum->trend_pullback_resume
