family,provider,symbol,branch_path,main_regime,volatility_bucket,momentum_bucket,trade_count,win_rate,avg_net_return,total_net_return,profit_factor
fvg_ob_pullback_resume_v1,binance,BTCUSDT,insufficient_context->unknown_volatility->unknown_momentum->fvg_ob_pullback_resume,insufficient_context,unknown_volatility,unknown_momentum,5,0.8,0.01583960163775553,0.07919800818877765,5.100707847578623
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,high_volatility,down_or_flat_momentum,122,0.5245901639344263,0.002197639435891283,0.26811201117873656,1.3374253783948737
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->fvg_ob_pullback_resume,range_or_de_risk,high_volatility,up_momentum,124,0.4838709677419355,-0.0026910735505378362,-0.3336931202666917,0.6856480612611456
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,normal_volatility,down_or_flat_momentum,437,0.4805491990846682,-0.00012696297161183664,-0.05548281859437262,0.9854172852825925
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->up_momentum->fvg_ob_pullback_resume,range_or_de_risk,normal_volatility,up_momentum,442,0.4683257918552036,-0.0008512345530127612,-0.3762456724316405,0.8938836278175801
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,down_or_flat_momentum,272,0.41911764705882354,-0.0037123922608924926,-1.009770694962758,0.7120986291740404
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->high_volatility->up_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,up_momentum,278,0.5071942446043165,0.0009765433791933178,0.27147905941574235,1.1118700203746752
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,normal_volatility,down_or_flat_momentum,541,0.41404805914972276,-0.001715256795839556,-0.9279539265491997,0.8202089442457929
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->normal_volatility->up_momentum->fvg_ob_pullback_resume,trend_expansion,normal_volatility,up_momentum,690,0.4826086956521739,-0.00018261335509658368,-0.12600321501664274,0.9777464702499062
fvg_ob_pullback_resume_v1,ibkr,SPY,insufficient_context->unknown_volatility->unknown_momentum->fvg_ob_pullback_resume,insufficient_context,unknown_volatility,unknown_momentum,9,0.4444444444444444,-0.004564993697993845,-0.041084943281944605,0.25498251761673735
fvg_ob_pullback_resume_v1,ibkr,SPY,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,high_volatility,down_or_flat_momentum,54,0.4074074074074074,-0.0009504941233368381,-0.05132668266018926,0.8122998327152569
fvg_ob_pullback_resume_v1,ibkr,SPY,range_or_de_risk->high_volatility->up_momentum->fvg_ob_pullback_resume,range_or_de_risk,high_volatility,up_momentum,46,0.6086956521739131,-0.00039179291183951255,-0.018022473944617576,0.8976612936826883
fvg_ob_pullback_resume_v1,ibkr,SPY,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,normal_volatility,down_or_flat_momentum,131,0.44274809160305345,-0.0017069562712057201,-0.22361127152794932,0.5827480887929009
fvg_ob_pullback_resume_v1,ibkr,SPY,range_or_de_risk->normal_volatility->up_momentum->fvg_ob_pullback_resume,range_or_de_risk,normal_volatility,up_momentum,159,0.4968553459119497,-0.00040821051560679207,-0.06490547198147993,0.8503962586908144
fvg_ob_pullback_resume_v1,ibkr,SPY,trend_expansion->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,down_or_flat_momentum,123,0.3333333333333333,-0.0029850463950583327,-0.3671607065921749,0.5141980443211952
fvg_ob_pullback_resume_v1,ibkr,SPY,trend_expansion->high_volatility->up_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,up_momentum,70,0.4714285714285714,-0.0029692533492361207,-0.20784773444652843,0.3924938218922639
fvg_ob_pullback_resume_v1,ibkr,SPY,trend_expansion->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,normal_volatility,down_or_flat_momentum,186,0.43548387096774194,-0.0018928681378628353,-0.35207347364248737,0.6150316962515033
fvg_ob_pullback_resume_v1,ibkr,SPY,trend_expansion->normal_volatility->up_momentum->fvg_ob_pullback_resume,trend_expansion,normal_volatility,up_momentum,349,0.4813753581661891,-0.00031513452705999424,-0.10998194994393798,0.885374343425784
fvg_ob_pullback_resume_v1,yahoo,ES,insufficient_context->unknown_volatility->unknown_momentum->fvg_ob_pullback_resume,insufficient_context,unknown_volatility,unknown_momentum,1,0.0,-0.0003302959135744514,-0.0003302959135744514,0.0
fvg_ob_pullback_resume_v1,yahoo,ES,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,high_volatility,down_or_flat_momentum,27,0.4444444444444444,-0.0012348276662234427,-0.033340346988032954,0.5402172517737166
fvg_ob_pullback_resume_v1,yahoo,ES,range_or_de_risk->high_volatility->up_momentum->fvg_ob_pullback_resume,range_or_de_risk,high_volatility,up_momentum,29,0.3793103448275862,-0.002169628331892374,-0.06291922162487884,0.33146244139420117
fvg_ob_pullback_resume_v1,yahoo,ES,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,normal_volatility,down_or_flat_momentum,78,0.44871794871794873,-0.0005784912084216275,-0.045122314256886946,0.7687428069376534
fvg_ob_pullback_resume_v1,yahoo,ES,range_or_de_risk->normal_volatility->up_momentum->fvg_ob_pullback_resume,range_or_de_risk,normal_volatility,up_momentum,108,0.46296296296296297,-0.0002723693712677619,-0.029415892096918285,0.8798598417453808
fvg_ob_pullback_resume_v1,yahoo,ES,trend_expansion->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,down_or_flat_momentum,60,0.5,-0.0002687615865599414,-0.016125695193596485,0.9147844880695648
fvg_ob_pullback_resume_v1,yahoo,ES,trend_expansion->high_volatility->up_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,up_momentum,24,0.5833333333333334,0.00024814472839852276,0.005955473481564547,1.1185398675503144
fvg_ob_pullback_resume_v1,yahoo,ES,trend_expansion->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,normal_volatility,down_or_flat_momentum,85,0.5058823529411764,0.0008817804458012091,0.07495133789310277,1.2242419517947483
fvg_ob_pullback_resume_v1,yahoo,ES,trend_expansion->normal_volatility->up_momentum->fvg_ob_pullback_resume,trend_expansion,normal_volatility,up_momentum,151,0.40397350993377484,-0.0018990998077695299,-0.286764070973199,0.4023041609792826
fvg_retrace_continuation_v1,binance,BTCUSDT,insufficient_context->unknown_volatility->unknown_momentum->fvg_retrace_continuation,insufficient_context,unknown_volatility,unknown_momentum,9,0.6666666666666666,0.006636606741961402,0.05972946067765261,2.3219487571469464
fvg_retrace_continuation_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_retrace_continuation,range_or_de_risk,high_volatility,down_or_flat_momentum,290,0.4379310344827586,-0.0011460085444969302,-0.33234247790410976,0.8672908025255127
fvg_retrace_continuation_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->fvg_retrace_continuation,range_or_de_risk,high_volatility,up_momentum,276,0.463768115942029,-0.0016089159318163767,-0.44406079718131997,0.8047321305630676
fvg_retrace_continuation_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_retrace_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,1082,0.4704251386321627,-0.000982248243862823,-1.0627925998595744,0.8859785688930272
fvg_retrace_continuation_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->up_momentum->fvg_retrace_continuation,range_or_de_risk,normal_volatility,up_momentum,1093,0.4583714547118024,-0.0007320436210887949,-0.8001236778500528,0.9050494188427606
fvg_retrace_continuation_v1,binance,BTCUSDT,trend_expansion->high_volatility->down_or_flat_momentum->fvg_retrace_continuation,trend_expansion,high_volatility,down_or_flat_momentum,756,0.4470899470899471,-0.0017029739299730534,-1.2874482910596283,0.8471066248027496
