family,provider,symbol,branch_path,main_regime,volatility_bucket,momentum_bucket,trade_count,win_rate,avg_net_return,total_net_return,profit_factor
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,high_volatility,down_or_flat_momentum,122,0.5245901639344263,0.002197639435891283,0.26811201117873656,1.3374253783948737
fvg_ob_pullback_resume_v1,yahoo,ES,trend_expansion->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,normal_volatility,down_or_flat_momentum,85,0.5058823529411764,0.0008817804458012091,0.07495133789310277,1.2242419517947483
order_block_retest_continuation_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->order_block_retest_continuation,range_or_de_risk,high_volatility,up_momentum,113,0.5132743362831859,0.0010850486204898701,0.12261049411535534,1.1694006620378672
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->high_volatility->up_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,up_momentum,278,0.5071942446043165,0.0009765433791933178,0.27147905941574235,1.1118700203746752
fvg_retrace_continuation_v1,binance,BTCUSDT,trend_expansion->high_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,high_volatility,up_momentum,725,0.4924137931034483,0.00063639914873793,0.46138938283499925,1.0844859250086107
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->ob_fvg_confluence_continuation,range_or_de_risk,high_volatility,up_momentum,126,0.47619047619047616,0.00025537206645408217,0.03217688037321435,1.0394660909572901
order_block_retest_continuation_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->order_block_retest_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,511,0.49902152641878667,0.00027656286702236157,0.14132362504842674,1.0392053113206916
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->up_momentum->ob_fvg_confluence_continuation,trend_expansion,normal_volatility,up_momentum,621,0.45893719806763283,0.00030931545039121684,0.19208489469294568,1.0387031643495508
order_block_retest_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->up_momentum->order_block_retest_continuation,trend_expansion,normal_volatility,up_momentum,663,0.4856711915535445,0.00030128525658616674,0.19975212511662857,1.0367215977544946
fvg_retrace_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,normal_volatility,up_momentum,1835,0.48664850136239785,7.007006359044217e-05,0.12857856668846138,1.0089082022934615
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,normal_volatility,down_or_flat_momentum,437,0.4805491990846682,-0.00012696297161183664,-0.05548281859437262,0.9854172852825925
order_block_retest_continuation_v1,binance,BTCUSDT,trend_expansion->high_volatility->up_momentum->order_block_retest_continuation,trend_expansion,high_volatility,up_momentum,183,0.4644808743169399,-0.00012875307770246093,-0.02356181321955035,0.9842368183529976
