family,provider,symbol,branch_path,main_regime,volatility_bucket,momentum_bucket,trade_count,win_rate,avg_net_return,total_net_return,profit_factor
fvg_ob_pullback_resume_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,range_or_de_risk,high_volatility,down_or_flat_momentum,122,0.5327868852459017,0.002397639435891284,0.29251201117873665,1.3735438736127317
fvg_ob_pullback_resume_v1,yahoo,ES,trend_expansion->normal_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,normal_volatility,down_or_flat_momentum,85,0.5058823529411764,0.001281780445801209,0.10895133789310278,1.3432152670508783
order_block_retest_continuation_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->order_block_retest_continuation,range_or_de_risk,high_volatility,up_momentum,113,0.5221238938053098,0.0012850486204898709,0.14521049411535542,1.2037172562787886
fvg_ob_pullback_resume_v1,binance,BTCUSDT,trend_expansion->high_volatility->up_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,up_momentum,278,0.5107913669064749,0.0011765433791933184,0.32707905941574256,1.1363192877049424
fvg_retrace_continuation_v1,binance,BTCUSDT,trend_expansion->high_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,high_volatility,up_momentum,725,0.5006896551724138,0.0008363991487379305,0.6063893828349997,1.1125422213208012
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,range_or_de_risk->high_volatility->up_momentum->ob_fvg_confluence_continuation,range_or_de_risk,high_volatility,up_momentum,126,0.48412698412698413,0.0004553720664540829,0.057376880373214444,1.0715316641905788
order_block_retest_continuation_v1,binance,BTCUSDT,range_or_de_risk->normal_volatility->down_or_flat_momentum->order_block_retest_continuation,range_or_de_risk,normal_volatility,down_or_flat_momentum,511,0.5068493150684932,0.00047656286702236204,0.243523625048427,1.0685236406588874
ob_fvg_confluence_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->up_momentum->ob_fvg_confluence_continuation,trend_expansion,normal_volatility,up_momentum,621,0.46859903381642515,0.0005093154503912175,0.3162848946929461,1.064592909933588
order_block_retest_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->up_momentum->order_block_retest_continuation,trend_expansion,normal_volatility,up_momentum,663,0.497737556561086,0.0005012852565861673,0.3323521251166289,1.0618639870055977
fvg_ob_pullback_resume_v1,yahoo,ES,range_or_de_risk->normal_volatility->up_momentum->fvg_ob_pullback_resume,range_or_de_risk,normal_volatility,up_momentum,108,0.5277777777777778,0.00012763062873223825,0.01378410790308173,1.0618291895056955
fvg_ob_pullback_resume_v1,yahoo,ES,trend_expansion->high_volatility->down_or_flat_momentum->fvg_ob_pullback_resume,trend_expansion,high_volatility,down_or_flat_momentum,60,0.5166666666666667,0.00013123841344005868,0.007874304806403522,1.0444092932520685
fvg_retrace_continuation_v1,binance,BTCUSDT,trend_expansion->normal_volatility->up_momentum->fvg_retrace_continuation,trend_expansion,normal_volatility,up_momentum,1835,0.49264305177111717,0.00027007006359044283,0.49557856668846256,1.034785252020533
