branch_path,provider,package_id,material_path
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,yfinance/YF,ote-0500-pullback-yfinance-yf-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-yfinance-yf-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,yfinance/YF,ote-0618-pullback-yfinance-yf-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-yfinance-yf-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,yfinance/YF,ote-0705-pullback-yfinance-yf-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-yfinance-yf-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,yfinance/YF,ote-0786-pullback-yfinance-yf-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-yfinance-yf-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,Binance,ote-0500-pullback-binance-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-binance-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,Binance,ote-0618-pullback-binance-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-binance-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,Binance,ote-0705-pullback-binance-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-binance-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,Binance,ote-0786-pullback-binance-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-binance-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,Bybit,ote-0500-pullback-bybit-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-bybit-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,Bybit,ote-0618-pullback-bybit-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-bybit-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,Bybit,ote-0705-pullback-bybit-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-bybit-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,Bybit,ote-0786-pullback-bybit-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-bybit-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,Kraken,ote-0500-pullback-kraken-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-kraken-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,Kraken,ote-0618-pullback-kraken-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-kraken-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,Kraken,ote-0705-pullback-kraken-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-kraken-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,Kraken,ote-0786-pullback-kraken-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-kraken-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,IBKR,ote-0500-pullback-ibkr-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-ibkr-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,IBKR,ote-0618-pullback-ibkr-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-ibkr-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0705 -> ote_retrace_0705_continuation_v1,IBKR,ote-0705-pullback-ibkr-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0705-pullback-ibkr-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0786 -> ote_retrace_0786_continuation_v1,IBKR,ote-0786-pullback-ibkr-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0786-pullback-ibkr-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0500 -> ote_retrace_0500_continuation_v1,TradingViewRemix/TVR,ote-0500-pullback-tvr-btc-usd-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0500-pullback-tvr-btc-usd-1h-v1.material.json
TrendExpansion -> PullbackContinuation -> ote_retrace_0618 -> ote_retrace_0618_continuation_v1,TradingViewRemix/TVR,ote-0618-pullback-tvr-btc-usd-1h-v1,docs/experiments/actionable-regime-confidence/runs/20260512T191916+0800-codex-ote-four-leaf-branch-keyed-aq-v1/agent-material/ote-0618-pullback-tvr-btc-usd-1h-v1.material.json
