symbol,timeframe,session,event_time,sweep_type,direction,swept_side,sweep_level,reclaim_level,invalidation_level,continuation_trigger_level,wick_body_ratio,reclaim_speed_bars,continuation_confirmed,reversal_confirmed,near_pd_array,pd_array_type,mss_or_cisd_confirmed,displacement_confirmed,regime_bucket,provider_provenance,evidence_source,confidence,fail_closed_reason,confirmation_role,actionable
BTC,1h,provider_native,2026-03-15T04:00:00+00:00,true_sweep,bearish,buy_side_liquidity,71575.921875,71575.921875,71650.640625,71343.453125,0.6018,1,False,False,False,none,False,False,trend,paired_provider_packet:docs/experiments/actionable-regime-confidence/runs/20260512T204436+0800-codex-smt-provider-observation-packet-v1/provider-data/BTC_ETH_1h.json,existing_provider_data_json,0.2,confirmation_only_waiting_for_mss_cisd_displacement_pda_and_outcome,confirmation_only,False
BTC,1h,provider_native,2026-03-15T05:00:00+00:00,true_sweep,bearish,buy_side_liquidity,71650.640625,71650.640625,71729.515625,71483.0390625,3.7081,1,False,False,False,none,False,False,trend,paired_provider_packet:docs/experiments/actionable-regime-confidence/runs/20260512T204436+0800-codex-smt-provider-observation-packet-v1/provider-data/BTC_ETH_1h.json,existing_provider_data_json,0.2,confirmation_only_waiting_for_mss_cisd_displacement_pda_and_outcome,confirmation_only,False
BTC,1h,provider_native,2026-03-15T17:00:00+00:00,true_sweep,bearish,buy_side_liquidity,71932.8984375,71932.8984375,71987.2890625,71423.359375,0.406,1,False,False,False,none,False,False,trend,paired_provider_packet:docs/experiments/actionable-regime-confidence/runs/20260512T204436+0800-codex-smt-provider-observation-packet-v1/provider-data/BTC_ETH_1h.json,existing_provider_data_json,0.2,confirmation_only_waiting_for_mss_cisd_displacement_pda_and_outcome,confirmation_only,False
BTC,1h,provider_native,2026-03-15T23:00:00+00:00,true_sweep,bearish,buy_side_liquidity,73034.6171875,73034.6171875,73141.3515625,72450.0078125,5.3905,1,False,False,False,none,False,False,trend,paired_provider_packet:docs/experiments/actionable-regime-confidence/runs/20260512T204436+0800-codex-smt-provider-observation-packet-v1/provider-data/BTC_ETH_1h.json,existing_provider_data_json,0.2,confirmation_only_waiting_for_mss_cisd_displacement_pda_and_outcome,confirmation_only,False
BTC,1h,provider_native,2026-03-16T04:00:00+00:00,true_sweep,bearish,buy_side_liquidity,73984.296875,73984.296875,74363.125,73582.4296875,1.6209,1,False,False,False,none,False,False,trend,paired_provider_packet:docs/experiments/actionable-regime-confidence/runs/20260512T204436+0800-codex-smt-provider-observation-packet-v1/provider-data/BTC_ETH_1h.json,existing_provider_data_json,0.2,confirmation_only_waiting_for_mss_cisd_displacement_pda_and_outcome,confirmation_only,False
BTC,1h,provider_native,2026-03-16T13:00:00+00:00,true_sweep,bearish,buy_side_liquidity,74363.125,74363.125,74458.6484375,73824.3359375,2.5615,1,False,False,False,none,False,False,trend,paired_provider_packet:docs/experiments/actionable-regime-confidence/runs/20260512T204436+0800-codex-smt-provider-observation-packet-v1/provider-data/BTC_ETH_1h.json,existing_provider_data_json,0.2,confirmation_only_waiting_for_mss_cisd_displacement_pda_and_outcome,confirmation_only,False
BTC,1h,provider_native,2026-03-16T21:00:00+00:00,true_sweep,bearish,buy_side_liquidity,74458.6484375,74458.6484375,74702.5390625,74183.3203125,1.4442,1,False,False,False,none,False,False,trend,paired_provider_packet:docs/experiments/actionable-regime-confidence/runs/20260512T204436+0800-codex-smt-provider-observation-packet-v1/provider-data/BTC_ETH_1h.json,existing_provider_data_json,0.2,confirmation_only_waiting_for_mss_cisd_displacement_pda_and_outcome,confirmation_only,False
BTC,1h,provider_native,2026-03-16T22:00:00+00:00,true_sweep,bearish,buy_side_liquidity,74702.5390625,74702.5390625,74889.625,74413.8125,0.7,1,False,False,False,none,False,False,trend,paired_provider_packet:docs/experiments/actionable-regime-confidence/runs/20260512T204436+0800-codex-smt-provider-observation-packet-v1/provider-data/BTC_ETH_1h.json,existing_provider_data_json,0.2,confirmation_only_waiting_for_mss_cisd_displacement_pda_and_outcome,confirmation_only,False
BTC,1h,provider_native,2026-03-16T23:00:00+00:00,true_sweep,bearish,buy_side_liquidity,74889.625,74889.625,74901.859375,74322.546875,0.2555,1,False,False,False,none,False,False,trend,paired_provider_packet:docs/experiments/actionable-regime-confidence/runs/20260512T204436+0800-codex-smt-provider-observation-packet-v1/provider-data/BTC_ETH_1h.json,existing_provider_data_json,0.2,confirmation_only_waiting_for_mss_cisd_displacement_pda_and_outcome,confirmation_only,False
BTC,1h,provider_native,2026-03-17T13:00:00+00:00,true_sweep,bullish,sell_side_liquidity,73614.75,73614.75,73488.921875,74091.9609375,2.4394,1,False,False,False,none,False,False,trend,paired_provider_packet:docs/experiments/actionable-regime-confidence/runs/20260512T204436+0800-codex-smt-provider-observation-packet-v1/provider-data/BTC_ETH_1h.json,existing_provider_data_json,0.2,confirmation_only_waiting_for_mss_cisd_displacement_pda_and_outcome,confirmation_only,False
