row_id,base_symbol,comparison_symbol,pair_lane,relationship_type,relationship_confidence,timeframe,session,event_time,smt_signal,base_swing_type,base_level,comparison_swing_type,comparison_level,swept_side,normalized_for_inverse_correlation,raw_comparison_swing_type,raw_comparison_level,same_event_window_confirmed,near_pd_array,pd_array_type,mss_or_cisd_confirmed,displacement_confirmed,regime_bucket,forward_return,outcome_hit,confirmation_role,actionable,branch_path,training_row_eligible,training_blockers
smt215037_0001,NQ,ES,NQ/ES,positive,0.8692,5m,NY_AM,2026-05-07T18:25:00+00:00,bullish_smt,LL,28642.5,HL,7358.75,sell_side_liquidity,False,HL,7358.75,True,True,FVG,False,False,transition,-0.0014832135129475815,False,confirmation_only,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1,False,"missing_mss_or_cisd,missing_displacement,entry_context_incomplete:missing_mss_cisd,missing_displacement"
smt215037_0002,NQ,ES,NQ/ES,positive,0.8692,5m,NY_AM,2026-05-08T19:15:00+00:00,bearish_smt,HH,29306.0,LH,7418.75,buy_side_liquidity,False,LH,7418.75,True,True,FVG,False,True,transition,0.001126193381054356,False,confirmation_only,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1,False,"missing_mss_or_cisd,entry_context_incomplete:missing_mss_cisd"
smt215037_0003,NQ,ES,NQ/ES,positive,0.8692,5m,NY_AM,2026-05-11T05:45:00+00:00,bullish_smt,LL,29317.5,HL,7410.25,sell_side_liquidity,False,HL,7410.25,True,True,FVG,False,True,range,-0.0007757422830692116,False,confirmation_only,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1,False,"missing_mss_or_cisd,entry_context_incomplete:missing_mss_cisd"
smt215037_0004,NQ,ES,NQ/ES,positive,0.8692,5m,NY_AM,2026-05-11T08:10:00+00:00,bullish_smt,LL,29268.75,HL,7412.0,sell_side_liquidity,False,HL,7412.0,True,True,session_high_low,False,True,range,0.001263736732898995,True,confirmation_only,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1,False,"missing_mss_or_cisd,entry_context_incomplete:missing_mss_cisd"
smt215037_0005,NQ,ES,NQ/ES,positive,0.8692,5m,NY_AM,2026-05-11T14:30:00+00:00,bullish_smt,LL,29246.75,HL,7421.5,sell_side_liquidity,False,HL,7421.5,True,True,session_high_low,False,True,range,0.003590281508771032,True,confirmation_only,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1,False,"missing_mss_or_cisd,entry_context_incomplete:missing_mss_cisd"
smt215037_0006,NQ,ES,NQ/ES,positive,0.8692,5m,NY_AM,2026-05-07T08:05:00+00:00,bearish_smt,HH,28814.5,LH,7408.5,buy_side_liquidity,False,LH,7408.5,True,True,session_high_low,True,True,transition,-0.002153375937760489,True,confirmation_only,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1,True,none
smt215037_0007,NQ,ES,NQ/ES,positive,0.8692,5m,NY_AM,2026-05-07T15:25:00+00:00,bullish_smt,LL,28823.75,HL,7391.25,sell_side_liquidity,False,HL,7391.25,True,True,FVG,False,True,transition,-0.003924966425507949,False,confirmation_only,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1,False,"missing_mss_or_cisd,entry_context_incomplete:missing_mss_cisd"
smt215037_0008,NQ,ES,NQ/ES,positive,0.8692,5m,NY_AM,2026-05-07T18:05:00+00:00,bearish_smt,HH,28721.5,LH,7370.5,buy_side_liquidity,False,LH,7370.5,True,True,FVG,False,False,transition,-0.0015521721690298052,True,confirmation_only,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1,False,"missing_mss_or_cisd,missing_displacement,entry_context_incomplete:missing_mss_cisd,missing_displacement"
smt215037_0009,NQ,ES,NQ/ES,positive,0.8692,5m,NY_AM,2026-05-08T20:00:00+00:00,bearish_smt,HH,29386.75,LH,7425.0,buy_side_liquidity,False,LH,7425.0,True,True,session_high_low,False,True,transition,-0.002886973702139256,True,confirmation_only,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1,False,"missing_mss_or_cisd,entry_context_incomplete:missing_mss_cisd"
smt215037_0010,NQ,ES,NQ/ES,positive,0.8692,5m,NY_AM,2026-05-11T00:35:00+00:00,bearish_smt,HH,29399.75,LH,7412.75,buy_side_liquidity,False,LH,7412.75,True,True,session_high_low,True,True,transition,-0.0018802429852473243,True,confirmation_only,False,Transition -> LiquiditySweepConfirmationFailure -> smt_divergence_confirmation_only -> smt_provider_window_event_alignment_expansion_v1,True,none
