label,source_report,source_section,trade_date,symbol,venue_or_market_center,participant_type_code,participant_identifier,side,earliest_order_received_time,latest_order_received_time,order_count,total_order_quantity,activity_description,matched_negative_group_id,session_bucket,source_row_id
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 42,2003-01-03,DELL,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_42,buy,25203847 raw_itch_timestamp,25211982 raw_itch_timestamp,2,1,"Independent exchange-feed background order lifecycle: add order side=B quantity=1 price=10000Y followed by cancel; executed_qty=0; canceled_qty=1. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_42,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_42
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 57,2003-01-03,LOW,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_57,sell,25219975 raw_itch_timestamp,25449478 raw_itch_timestamp,2,2000,"Independent exchange-feed background order lifecycle: add order side=S quantity=2000 price=389700Y followed by cancel; executed_qty=0; canceled_qty=2000. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_57,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_57
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 61,2003-01-03,FRX,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_61,buy,25222589 raw_itch_timestamp,25323931 raw_itch_timestamp,2,400,"Independent exchange-feed background order lifecycle: add order side=B quantity=400 price=1006000Y followed by cancel; executed_qty=0; canceled_qty=400. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_61,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_61
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 65,2003-01-03,ZVZZT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_65,buy,25225705 raw_itch_timestamp,25226306 raw_itch_timestamp,2,100,"Independent exchange-feed background order lifecycle: add order side=B quantity=100 price=2907100Y followed by execute; executed_qty=100; canceled_qty=0. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_65,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_65
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 68,2003-01-03,ZVZZT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_68,buy,25226573 raw_itch_timestamp,25238828 raw_itch_timestamp,2,100,"Independent exchange-feed background order lifecycle: add order side=B quantity=100 price=2907100Y followed by execute; executed_qty=100; canceled_qty=0. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_68,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_68
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 70,2003-01-03,ZVZZT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_70,buy,25227071 raw_itch_timestamp,25265322 raw_itch_timestamp,2,100,"Independent exchange-feed background order lifecycle: add order side=B quantity=100 price=2907100Y followed by cancel; executed_qty=0; canceled_qty=100. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_70,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_70
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 71,2003-01-03,ZVZZT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_71,buy,25227510 raw_itch_timestamp,25258834 raw_itch_timestamp,2,100,"Independent exchange-feed background order lifecycle: add order side=B quantity=100 price=2907100Y followed by cancel; executed_qty=0; canceled_qty=100. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_71,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_71
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 73,2003-01-03,ZVZZT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_73,buy,25228166 raw_itch_timestamp,25231108 raw_itch_timestamp,2,100,"Independent exchange-feed background order lifecycle: add order side=B quantity=100 price=2907100Y followed by cancel; executed_qty=0; canceled_qty=100. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_73,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_73
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 84,2003-01-03,ZVZZT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_84,buy,25238327 raw_itch_timestamp,25312775 raw_itch_timestamp,2,100,"Independent exchange-feed background order lifecycle: add order side=B quantity=100 price=2907100Y followed by cancel; executed_qty=0; canceled_qty=100. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_84,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_84
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 87,2003-01-03,CDN,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_87,sell,25239400 raw_itch_timestamp,28187024 raw_itch_timestamp,2,1000,"Independent exchange-feed background order lifecycle: add order side=S quantity=1000 price=104000Y followed by cancel; executed_qty=0; canceled_qty=1000. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_87,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_87
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 88,2003-01-03,ZVZZT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_88,buy,25239529 raw_itch_timestamp,25277975 raw_itch_timestamp,2,100,"Independent exchange-feed background order lifecycle: add order side=B quantity=100 price=2907100Y followed by cancel; executed_qty=0; canceled_qty=100. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_88,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_88
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 89,2003-01-03,ZVZZT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_89,buy,25239931 raw_itch_timestamp,25310307 raw_itch_timestamp,2,100,"Independent exchange-feed background order lifecycle: add order side=B quantity=100 price=2907100Y followed by cancel; executed_qty=0; canceled_qty=100. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_89,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_89
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 91,2003-01-03,ZVZZT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_91,buy,25240433 raw_itch_timestamp,25249650 raw_itch_timestamp,2,100,"Independent exchange-feed background order lifecycle: add order side=B quantity=100 price=2907100Y followed by cancel; executed_qty=0; canceled_qty=100. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_91,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_91
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 92,2003-01-03,ZVZZT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_92,buy,25240936 raw_itch_timestamp,25242859 raw_itch_timestamp,2,100,"Independent exchange-feed background order lifecycle: add order side=B quantity=100 price=2907100Y followed by cancel; executed_qty=0; canceled_qty=100. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_92,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_92
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 99,2003-01-03,FRX,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_99,buy,25245468 raw_itch_timestamp,25367971 raw_itch_timestamp,2,500,"Independent exchange-feed background order lifecycle: add order side=B quantity=500 price=1009000Y followed by cancel; executed_qty=0; canceled_qty=500. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_99,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_99
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 158,2003-01-03,XLK,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_158,buy,25260419 raw_itch_timestamp,34192100 raw_itch_timestamp,2,10000,"Independent exchange-feed background order lifecycle: add order side=B quantity=10000 price=151500Y followed by cancel; executed_qty=0; canceled_qty=10000. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_158,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_158
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 159,2003-01-03,XLF,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_159,buy,25260419 raw_itch_timestamp,30647658 raw_itch_timestamp,2,10000,"Independent exchange-feed background order lifecycle: add order side=B quantity=10000 price=223000Y followed by cancel; executed_qty=0; canceled_qty=10000. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_159,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_159
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 160,2003-01-03,SHY,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_160,buy,25260421 raw_itch_timestamp,34192044 raw_itch_timestamp,2,4000,"Independent exchange-feed background order lifecycle: add order side=B quantity=4000 price=817000Y followed by cancel; executed_qty=0; canceled_qty=4000. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_160,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_160
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 161,2003-01-03,TLT,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_161,buy,25260423 raw_itch_timestamp,34192007 raw_itch_timestamp,2,4000,"Independent exchange-feed background order lifecycle: add order side=B quantity=4000 price=855000Y followed by cancel; executed_qty=0; canceled_qty=4000. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_161,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_161
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 162,2003-01-03,RTH,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_162,buy,25260424 raw_itch_timestamp,25957704 raw_itch_timestamp,2,5000,"Independent exchange-feed background order lifecycle: add order side=B quantity=5000 price=692500Y followed by cancel; executed_qty=0; canceled_qty=5000. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_162,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_162
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 163,2003-01-03,XLE,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_163,sell,25260425 raw_itch_timestamp,34191618 raw_itch_timestamp,2,10000,"Independent exchange-feed background order lifecycle: add order side=S quantity=10000 price=235000Y followed by cancel; executed_qty=0; canceled_qty=10000. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_163,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_163
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 165,2003-01-03,XLK,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_165,sell,25260428 raw_itch_timestamp,34191799 raw_itch_timestamp,2,10000,"Independent exchange-feed background order lifecycle: add order side=S quantity=10000 price=160900Y followed by cancel; executed_qty=0; canceled_qty=10000. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_165,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_165
independent_broad_normal_order_lifecycle_control,Nasdaq ITCH historical sample S010303-v2.zip,S010303-v2.txt; first 250000 parsed messages; order reference 166,2003-01-03,XLF,NASDAQ ITCH historical sample,public_exchange_order_lifecycle_feed,nasdaq_itch_order_ref_166,sell,25260430 raw_itch_timestamp,34191787 raw_itch_timestamp,2,10000,"Independent exchange-feed background order lifecycle: add order side=S quantity=10000 price=232900Y followed by cancel; executed_qty=0; canceled_qty=10000. This is broad normal-market order-lifecycle control evidence only, not a positive spoofing/layering row and not a profitability signal.",broad_normal_nasdaq_itch_s010303_166,historical_nasdaq_itch_background,nasdaq_itch_s010303_order_166
